,Paylaþým
2592,Amerikada üniversitelerin gelecek dönem için online eðitime geçtiklerini duyurmalarýnýn ardýndan yeni espri konusu. Bütün bunlar bir yana çoðu kurum e-learning içeriði geliþtirme ve disiplinlerini kavrama konusunun henüz çok baþýnda. 1 saatlik ders için günlerce emek gerekiyor.
2593,"""Bu vatan bizim"" diyerek, yeni bir tarih için atýlan adalet adýmlarýnýn ilk duraðý Maltepe'ydi. Þimdi, ""o satýh bütün vatandýr"" diyerek, Cumhuriyet'i demokrasiyle taçlandýracaðýz. ""9 Temmuz yeni bir adýmdýr, yeni bir iklimdir, yeni bir tarihtir, yeni bir doðuþtur..."""
2594,yok ya ne kafama takýcam dedikten sonra sabaha kadar uyuyamamak
2595,Eteðimi yeni aldým giymem gerek diye kendime zorla plan yaptýrdým bugün.
2596,"Antalya'nýn Demre ilçesinde bulunan, bölgenin en çok ziyaretçi çeken ören yerlerinden Aziz Nikolaos Anýt Müzesi ile Likya Birliði'nin 6 önemli kentinden Myra Antik Kenti, koronavirüs sürecinden olumsuz etkilendi"
2597,Hendek ilçesinde bulunan havai fiþek fabrikasýndaki malzemelerin sevkiyatý sýrasýnda yaþandýðý öðrenilen patlamada ilk belirlemelere göre 6 kiþi yaralandý.
2598,"Bilim Kurulu üyesi Prof. Dr. Tevfik Özlü: Yarýn okullar açýlsa, bunun uygun olmayacaðýný söyleyebilirim. Toplumda her gün binin üzerinde vaka var, 20 civarýnda da her gün kaybettiðimiz yurttaþýmýz var. Okullar birden bire virüsü her yere yayar."
2599,ya bu emojileri gönderenin sevgisinin gerçekliðine kendini inandýrmýþ. daha fazla okuyamadým. allah akýl fikir sabýr ne veriyorsa versin.
2600,ilk tweet sonrasi okumadim. yazik. allah dusurmesin. kari kiz icin bu hallere dusulmez 91 dogumlu kardesim
2601,sabah sabah kafa açtýn birader. ne intiharý allasen? al iki sakinleþtirici  mesaj at bana iki bara gidelim  iki takýlalým biraz da sohbet edelim kendine gel.
2602,4s kuralýnýn geçerliliðini bir kez daha gösteren twit þeysi.
2603,twitterda gördüðüm bir kadýna þiddet iddiasýdýr gerçekliði yasal mercileri baðlar.
2604,þerefsiz yobaz köpek. yalova'yý da ülkeyi de ne hale getirdiler.
2605,beðenmediðim kurgudur  haydi diyelim ki gerçekten yaþandý
2606,standart bir saðlýkta þiddet vakasýndan çok daha fazlasý olan bir durumdur.
2607,Mýzmýz insanlarýn yakýnýnýza uðramadýðý mis gibi bir gün olsun!
2608,Bu toplumun hiçbir kesimi diðerlerinden daha saðlýklý durumda olmadýðý için  ahlaksýzlýkta ve saldýrganlýkta yerli ve milli trolleri aratmayacak örneklere muhalif kesimde de rastlanabiliyor. Ama bunlar hiç olmazsa maaþ karþýlýðýnda yapmýyorlar bu iþi.
2609,10 sene önce bugün  Aþk-ý Memnu finalinden iki hafta sonra  LeBron James yeteneklerini Miami Heate götürmeye karar verdi. 
2610,Eee... Kadýn haklý. Alay edilecek bir þey görmüyorum ben burada. 
2611,Millet karþýlýklý oynamasýn diye düðün ve niþanlara toplum saðlýðý adýna gözlemci gönderilecek. Bizim millet hükümet komiserini sarhoþ edip halaya kaldýrýr  demedi demeyin.
2612,Abdülkadir Selviye göre Danýþtay  Ayasofyanýn ibadete açýlmasý yönünde karar verdi. Karar 10 Temmuzda açýklanacak
2613,Artýk yeter dedirtti! Çitleyene 61 lira ceza
2614,sevdiði kýza erasmus muharrem'in bastýðýný öðrenen enayi
2615,böylesine iðrenç saygýsýz terbiyesiz bir varlýktan herþey beklenir
2616,siktiðin karýlarý mý silecek zihninden yoksa çirkin kürt karýný mý
2617,hadi ikile ulan
2618,sen ne çirkin bir kadýnsýn ya kimse sana yanaþmaz
2619,Görgüsüz kaba terbiyesiz Evrimini tamamlayamamýþ sevimsiz. Asosyal sevgilisi olmamýþ ezik
2620,Ben de iki sefer kumaþ maske taktýðým için Migrosa alýnmadým. Uyarýlarý dinleyip cerrahi maske taktým. 
2621,Yuh Olsun Size.
2622,Bu ülkede kadýn yýllarca türban taktýðý için dýþlandý  kapýlardan kovuldu. 
2623,Daha ne kadar çirkin aþaðýlýk pisliklerini yapýp Atatürk!ün arkasýna sýðýnacaklar merak etmekteyim 
2624,aþaðýlýk mahlukat seni terbiyesiz
2625,Sizden daha ala sapýk ve tacizci olmaz  döktürtme  þimdi arþivi buraya edepsiz Lgbt savunucularý sizi
2626,tacizcinin sað görüþü sol görüþümü olur aptallara bak ya. Tagi açan kesin sapýk zihniyettedir...net
2627,Nerelerinden tutsak pislik nerelerinden tutsak taciz akýyor.
2628,O ha hayvanlar diyorum
2629,Bu tacizcinin saðcý solcu veya ne partisinden olduðunu konuþmak yerine ne halt yediðini göz önüne alarak tepki verdiðiniz zaman insan olacaksýnýz!
2630,Ne kadar boþsunuz
2631,ekibin beynini ve kanýný sikim
2632,Amýný sikim twitter menþ atar mýsýnýz bir iki tane
2633,su an denize giren kim varsa onun ben anasini sikim
2634,ananýzý sikim
2635,beni sevmeyen kim varsa anasini sikim
2636,kafaný sikim bayan 
2637,Senin tipini sikim abazanýn attýðý mesajý tivit atan elini sikim yolunu aklýný sikim
2638,benden baskasina gunaydin dedigin sabahlari sikim
2639,Yapacaðýnýz iþin alacaðýnýz önlemini yaptýðýnýz rezervasyonun kurduðunuz fabrikanýn fabrikanýn baþýndaki orospu çocuðunun ta anasýný avradýný sikim kým verecek lan bu masumlarýn hesabýný orospu çocuklarý allah belanýzý versýn hukumetýnýzýn amýna koyým
2640,Ya senin ben götünü sikim hep ben yazardým bi kere yazmadým olan olaya bak senin ben amcýk beynini sikim
2641,ucuncunun anasini sikim cringe ama skerim
2642,e ananýzý sikim
2643,Mutun içinde rampanýn ortasýna kýrmýzý ýþýk diken mühendisin mi ne boksa onun anasýný sikim.
2644,cemalinizi de sikim nisanýzý da sikim acununuzu da sikim yeter amk
2645,Öyküyü sikim enayisine sokum
2646,maçýn anasýný siktin bende senin ananý sikim
2647,At yalanýný sikim inananý
2648,Ben doðrularý yazdým spamlayanlarýn anasýný götünden sikim
2649,Bu siteyi sikim
2650,senin ben ananý sikim
2651,Ne çýkarýnýz bitiyo ne yalanýnýz sizin ben yolunuzu sikim
2652,Bu iste emegi geçen herkesi sikim. Zaten maçlarýn sonucuna bile coktan bakmayý býraktým da  yine de ne halt yediði belirsiz pic sürüsüne sovmeden olmaz. Sanki siktiklerim 3-5 önce tam bu durumdan  sistemi þu anki hale cevirmemislermis gibi iþ yapýyorlar hala.
2653,e senin ben gotunu sikim o zaman
2654,"At yalaný sikim inananý ""Namýk Kemal"""
2655,birincisi senin ananý sikim kancýk ikincisi bu malý takip eden 23 mutualim var
2656,Beynini sikim
2657,Doðrumu lan bu sikeriz artýk o piçi
2658,diyenin belasýný sikeriz hayýrdýr noluyo
2659,Tabi ya bizde hemen gelir sikeriz dimi. Yalanýnýzý sikeyim
2660,Anasini bile sikerler  sikeriz. O yüzden hic kimse bosuna elestirmesin
2661,Getir getir sikeriz getir
2662,kapý çaldý iki adam gelmiþ öykü ve enayiyle ilgili tivit atmazsan götünü sikeriz diyolar
2663,Kim o piç
2664,bulsam sikeriz de
2665,Susmasak belanýzý sikeriz çünkü
2666,Aga az buçuk açalým. Takipçi gelir amýna sonra imam sikeriz gene
2667,suna soyle öyle kahpeli falan konuþmasýn adamý got*unden sikeriz ayýk olsun
2668,amk salak yapay zekasý
2669,Sikeriz  yavrum
2670,Babasýný da sikeriz ne var
2671,Senin götünü sikeriz aslan uza
2672,köþede pusuyoruz sikeriz diye
2673,Çünkü analarýný sikeriz dokunanlarýn
2674,biz sana gelip belani sikeriz diyo muyuz aq hayirdir sana noluyo ne batti kardesim
2675,asýl siz kimsiniz amýna koyim
2676,Ananý bile sikeriz ihtiyar bak dalgana
2677,Biz o köylere kasabalara gideriz tekrar çýkar ananýzý da sikeriz hiç merak etmeyin.
2678,Hah gelmiþ bir yunan dölü daha Atatürk'ün sizi siktiði yetmediyse söyleyin bir de biz sikeriz sizi ayýpsýn
2679,sikeriz kabrinizi zorlamayýn sabrýmýzý
2680,Düþtük eyvallahta bir kalkarsak saðý solu sikeriz
2681,Sizi harbiden sikeriz yeter artýk ruhsuz ibneler
2682,Arkadaþlar Herkese saygým var eþcinsel olsun aptal beyinsiz olsun kýz erkek olsun engelli olsun fark etmez ama sen benim dinime dilime ýrkýma laf edersen senin dinini dilini ýrkýný sikeriz
2683,Olum bizi kýzdýrorsan böle belaný sikeriz haydeee
2684,biz istanbulun dört bir yanýný sikeriz
2685,Önce umut verip öyle sikeriz biz adamý
2686,Lan olm Amonacoyarýz senin cezasýnýda sikeriz yarraklarým
2687,Millet sesizliðimizi korkaklýk sanýyor galiba sizi sikeriz bidaha kalkamazsýnýz 
2688,sikeriz yavru
2689,siktir lan orospu
2690,hayýrdýr aga canýný sýkanýn anasýný sikeriz
2691,Kendini ne sanýyosun yarrak kafasý seni git bak bakim profilime ne kadar fotoðraf deðiþtirdiðime godoþ senin için pp mi deðiþicem 
2692,soytarý herif arkadaþý için kariyerini yaktý dahada bir bok olmaz bundan
2693,Kariyerinimi yaktý sen ciddi misin  amýna koyým sanki holly yeni oyuncuda hiç ismini bir aðýrlýðý yok yarrak kafasý Fenerbahçe kim amýna koyým 1 sezon þampiyon olup Tatilde o parayý yiyip ertesi sezon ligin dibinde oynuyor
2694,Yarrak kafasý  kiminle tartýþýyorsun ksksks . Sg gömleðinden fýrlayan kýllarý kes
2695,al yarrak kafasý iyice dinle 2:01 de ne diyor bak bakalým
2696,Anancýlýk yapma yarrak kafasý seni
2697,mention mý çalýyor vay ak
2698,La yarrak kafasý kocaelide halk ekmek yeni kuruldu sende bir gram beyin yok beynini sikim senin
2699,göstersene lan yarrak kafasý  kuyruk yapma siktir git
2700,Ya bi sg nisa faný sormasýn bu soruyu ablasýna
2701,O zaman sg
2702,HANÝ OLAMAZDIK AQLARIM
2703,Tamam havlamayý kes þimdi sg
2704,Ya bý sg
2705,aw her tivitime ayný menþýný atiyon sg buradan
2706,La bý sg beyinsiz ya
2707,beyinsizsin sen ya
2708,Ýyi o zaman sg gölge yapma
2709,ya sg amk gerizekalýsý
2710,gerizekalý taraftar grubu
2711,Sevgili beyinsiz neslihan ve sen gibiler bu açýklamayý sosyal medya hesabýndan yapýp fikrini özgürce ifade edebilmen de bayaðý komik. Çok rahatsýz oluyorsanýz biz ahlaksýzlarý bizimle býrakýp kapatabilirsiniz hesabýnýzý
2712,piçe bak lan
2713,olm ananý siktim lan senin
2714,kehpe evladý
2715,He gittin bir üyeyi diðerinin suratýna shopladýn en beyinsiz en gerizekalý en aptal sensin tamam
2716,beyinsiz insan olmak tamamen budur
2717,Kene canan haberin varmi
2718,Konuyla ne alakasý var amip!
2719,soluksuz sikeceksin bunlarý
2720,böylelerini sikeceksin
2721,Allah filan olsan anamýzý sikeceksin gibi ama hayýrlýsý aq
2722,Ýbreti alem için sikeceksin bunlarý orospu çocuklarý ya
2723,Bunlarý sikeceksin
2724,Nerde aptal gördün soluksuz sikeceksin
2725,Anasýný sikeceksin böylelerinin.Yaðlý kazýða oturtup kafatasý delinene kadar her yerini parçalayacaksýn.
2726,Hic tatava yapmadan sikeceksin böyle konuþanlarý. Bunlar vallahi eðitilmezler.
2727,Motorcuyu ayrý  at arabasýný kullananý ayrý ayrý sikeceksin.
2728,daha kac gecemi sikeceksin orospu cocugu
2729,yalaný öyle bi atacaksýn ki doðrununda anasýný sikeceksin
2730,Bu saatten sonra salaða yatani yatmýþken sikeceksin.
2731,desteklediklerinize bak diyip bunlarý üst üste koyup sikeceksin
2732,Rakýyý seveceksin kadýný sikeceksin.
2733,Bunlarý sikeceksin iþte.
2734,Anasýnýn amýna koduðumun terörist orospu evladý gelmiþini geçmiþini mezardakilerini sikeceksin böyle tabutunu siktiklerimin piç evlatlarýný çürümeden içerden çýkarsan senin ben gözlerinin nurunu sikeyim
2735,o direðe baðlayýp sikeceksin onlarý
2736,Orospu çocuðu bunun gibileri er meydanýna çýkarýp domaltýp sikeceksin götünden kazýk eksik olmayacak  ki diðer piçlere örnek olsun
2737,Ne güzel sikilirsin sen varya önce bir güzel yalýycan sonra afiyetle sikeceksin
2738,Senin gibileri de böyle sikeceksin.
2739,böylelerini sikeceksin amk götvereni götü sikik
2740,Ýþçi milletinin anasýný avradýný sikeceksin!
2741,Ýçiþleri Bakaný Soylu  Sakaryadaki havai fiþek fabrikasýnýn çalýþma ve imar izninin iptal edileceðini açýkladý.
2742,CHP Ýstanbul Ýlçe Belediye Baþkanlarý sosyal medya hesaplarýndan yaptýklarý duyuruyla yapacaklarý kutlamalarda havaifiþek kullanýmýný yasaklayacaklarýný duyurdu.
2743,Gerçekten özledik. 
2744,Öðrenciler okulu  öðretmenler öðrencileri özledi.
2745,Eski güzel günlere geri dönmek umuduyla tedbirle ve sabýrla..
2746,Borsada para kazanmaya çalýþan küçük yatýrýmcý
2747,Bu satýþ düzeltmeydi  hala boða piyasasýndayýz
2748,Çocuklarýnýzý nasýl yetiþtirirseniz meyvesini öyle alýrsýnýz. Tebrik ederim seni kardeþim. 
2749,Her adým bir sonrakinin baþlangýcý olmaya ve heyecanýmýzý tazelemeye devam ediyor.
2750,Jandarma Genel Komutanlýðý  Sakarya'daki patlamada Astsubay Kýdemli Baþçavuþ Halil Tuna Akgöz  Jandarma Uzman Onbaþý Fatih Manga  Jandarma Astsubay Mesut Yazar'ýn þehit olduðunu açýkladý
2751,harbiden hayret ettim aq
2752,GÖKTAÞI NEREDEN ÇIKTI LAN ?
2753,Nazif kalk össyi kaçýrdýn
2754,Chicago'daki akvaryumun iki pengueni  Field doðal tarih müzesini ziyaret etti
2755,Ve nümerik analizden kaldým teþekkürler herkese :)
2756,Güz dönemi de online olacak haberlerini okuyorum
2757,Havai Fiþek ne lan; hem görgüsüz iþi hem de uçan kuþa  çevreye zarar.
2758,Gözlerimin dolu dolu çalýþtýðý  hergün mide aðrýsý ve bulantýsý yaþadýðým günler hoþgelmedin. Gelme. Git.
2759,Merkez Bankasý: ''Enflasyon düþüþe geçecek'' diyor.
2760,Tablonun Bellini atölyesinden çýkmýþ olmasý orijinal olduðunu kanýtlýyor. O dönemde birçok eser  atölyelerde kolektif olarak üretiliyordu. Müzayede evi Christies de tablonun orijinalliðini doðruladý.
2761,CHPli belediyeler  Sakaryada havai fiþek faciasýnýn ardýndan belediye etkinliklerinde havai fiþek kullanmama kararý aldý.
2762,Seul'ün kayýp  belediye baþkaný ölü bulundu
2763,Burada kimin en ufak bir ihmali söz konusuysa herkes bilmelidir ki bunun gereði yerine getirilecektir
2764,Seçimlerim  çabalarým  sevdiklerim kendime yaptýðým en büyük saygýsýzlýklardý
2765,Yurtdisinda aldatilma muhabbetinde benimkinin ustune daha cikilmadi isteyen varsa yine anlatirim. Yaz abi okurum ben diyen fav
2766,Fenerbahçede futbol operasyonu Baþkan Ali Koç önderliðinde; Selahattin Baki Mustafa Kemal Danabaþ ve Emre Belözoðlu ile yeni sezonda da devam edecek.
2767,Cok param olsun hic derdim olmasin sevdiklerim benimle olsun hic borcum olmasin gelecegim guzel olsun duzenli bi hayatim olsun mutlu olayim cok mu sey istiyom
2768,hele þükür
2769,Çok basit kafasýna sýk Kurtul bunca zaman zaten mahkum hayatý yasamissin motorun birine birde nafaka mi vereceksin gidecek erkekler le yiyecek sikacaksin kafasýna sonra hakime diyeceksin senin sikik kanunun yüzünden diyeceksin
2770,acýmak yok kafasýna sýkacaksýn
2771,adi orospu çocuðu.
2772,Teröre tek çare yakaladýðýnýn ya kafasýna sýkacaksýn ya da Böyle sallandýracaksýn 
2773,hainin kafasýna sýkacaksýn.
2774,Ýþkence çok ayýp kafasýna sýkacaksýn!
2775,Bu kafirin kafasýna 32 el sýkacaksýn...Bir daha bak kimse böyle halt yiyor mu?
2776,Acýmayýn orosbu evladýna. Bunlara acýnmaz kafasýna sýkacaksýn
2777,bu herifinde kafasina sýkacaksýn
2778,Sýkacaksýn kafasýna 
2779,Allah belasýný versin ayný acýyý yaþar inþ Allah böylelerinin kafasýna sýkacaksýn çünkü insan deðil nasýlsa
2780,Bunun kafasýna sýkacaksýn ne emniyeti
2781,Teslim almayacaksýn öldüreceksin
2782,senin gibi aptal orospu çocuklarý bile fikir beyan ediyor ya þaþýrýyorum orospu analý kahpe oðlu seni
2783,sizin gibileri dayaktan öldürmek lazým
2784,oðlaný öldürmek lazým kinlendim
2785,Bu siksokta çok mal var hepsini sikerek öldürmek lazým
2786,Yok pýsmam sonecek gibi deðil öldürmek lazým
2787,bunu sikip öldürmek lazým Þerefsiz
2788,Seni iþkence çektire çektire öldürmek lazým
2789,Böylelerini öldürmek lazým.
2790,orospuya bak kalkmýþ atatürk'ü ýþid'le benzeþtirip diktatör diyor. tarihten kitaptan arþivden bihaber bu kahpelere iþkence edeceksin ya
2791,Umarým kafasý kýrýlmýþtýr. Adi herif  buna iþkence edeceksin hadým edeceksin böylelerini.
2792,Duzenlý bý sekýlde psýkolojýk ýskence edeceksýn bu adýye kendý ýpýný kendý asacak.
2793,Senin ve ailenin kafalarýnýzý tek tek kesip vinçlerde sallandýracaðýz! Yatak odalarýnýza gireceðiz
2794,Sayýn Bakaným 11. Promosyon SGK DENETMEN YARDIMCISI ilaný bekliyoruz
2795,kuþum hepsi sizin için
2796,seviþme savaþ
2797,Kimse okullarýn açýlmasýný istemiyor niye diye sorunca da virüs var çocuklara bulaþýr sonra da baka sayýlarý artar
2798,Müdürken bendim o eski þubede. Çok kýzardým böyle þeylere valla... Saygýsýzlýk bu yaa..
2799,"Lütfen, hiç olmadýðýmýz kadar özveri ve hassasiyetle tüm tedbirlere uyalým"
2800,Kýyamam
2801,"Ayþenur Parýldak; """"Avludaki çatlaktan usulca baþýný çýkarýp yeþeren o küçük ot gibi hissediyorum bazen."
2802,Merhaba ozelime gelirmisiniz
2803,Böyle basit bir dünyada sen benim için çok özelsin
2804,noktalama sayý etiketleme büyük harfle baþlama spam sayýlýyor kendi kendimizi spamlamayalým lütfenn
2805,Koskoca bir 2019 yandý kül oldu mu diyeceðiz
2806,"Görev baþýna !"""
2807,"Ýçimi yakan þeyleri sadece sana anlatmak istedim, sana sustum. en çok sana."
2808,kafayý yedi lan
2809,semiha anne sizinleyiz
2810,dadanýn sallayan halasý
2811,herkes öldürür sevdiðini diye düþünmek istiyorum??
2812,destek tiwiti
2813,Sakarya Hendekte havai fiþek fabrikasýna ait patlayýcýlarýn kontrollü bir þekilde imha edilmesi esnasýnda meydana gelen patlamada 3 þehit
2814,Kesinlikleeee
2815,Yýllarca hizmet verip emeklilik tazminatý alamayacaðýmý bilerek çalýþmak beni mutlu etmiyor.
2816,Biz öðretmenleri bilmeden yargýladýlar. 'Yatýyorlar' diye oysaki biz bu sürecde canlý dersler verdik
2817,Ya yeter artýk be
2818,Bak ciddi söylüyorum bugün canlý için barýþa okuycaz müslümanlar ment atsýn
2819,biz bugun kimya nasýl olur onu konuþucak arkadaþlar herkesde onu konussun diye zirvenin sahibini hatirlatmaya geldik
2820,Sonuçta 3 büyükler anlaþýlan bir süre daha dipte kalacak sonrada sýra gelir
2821,Kayserispor keske yok olsan sadece.. var olmasan artik.. yok ol nolur
2822,En güzel akþamlar sizinle olsun
2823,NASAnýn Uzayla Ýletiþim Baþkanlýðý böyle bir bina deðildir...
2824,"Isýtmasý, soðutmasý, mobilyasý ile orta boy bir kent yönetilir"
2825,bir þey yapmiyorlarsa polisler neden var amk sinir oluyorum þu olaylarda
2826,Pazarlýk yaparýz
2827,biraz övülmeye ne dersin he?
2828,Yazýklar olsun
2829,pubg da isim nasýl deðiþtiriliyorrr
2830,Twitter da kürt sayýsýnýn çok olduðuna yemin edebilirim ama kanýtlayamam.
2831,Slayers'ta organize olduðumuz gibi organize olursak anket kaybetme olasýlýðýmýz çok düþük.
2832,Kaç maçtýr sýrýtmadan takýr takýr top oynayýp sadece bir hata yaptý diye faturayý Rýdvan kesip ertesi maç kesik atan sergen hoca yakýþmadý
2833,Prosinecki ellerine saðlýk oyuncularýn emeklerini çala çala düþürdün bizi
2834,Kavgacý takým olacaðýz týpký 2015 deki gibi
2835,Vida nýn geçen haftada kesilmesi lazýmdý. Gram haz almýyorum
2836,5 dk önce kayseri kurtardým derken rize kayseriyi puantajda altýna aldý
2837,çok özledik lütfen ona söyle
2838,Adýný Emel de yapsan Temel de yapsan kaçamayacaksýn. Hesabýný korumaya alarak twetlerini silerek kurtulamayacaksýn.
2839,sýrf tagdaki minik mor kalpciði görmek için tekrar atýyorum
2840,Allah rahmet eylesin bir daha yaþanmasýn bunlar milletimizin baþý saðolsun.
2841,kayseri düþerse baþkalarýna üzülürüm ama mensah'ý da ucuza alýrýz
2842,Baktýkça içim bi hoþ oluyo. bence sen de kesin seversin.
2843,Ben bu kavuþamamaya dayanamýyorum
2844,Ben hesabýn alaman usulü olanýný severim
2845,"Canlarým, aradaki fark çok az had gidelim yorum yapalým. Görenler rt yapsýn orda toplanalým."
2846,Allahýn dediði olur
2847,Askýda bulut
2848,Belki üstümüzden bir kuþ geçer
2849,"Engin Özkoç: Biz Çoklu baro bu ülkede kutuplaþma, bölünme yaratýr demiþtik"
2850,Sen hadsiz olur musun hiç. Tamam o kelimeyi sevmediysen ben baþka  bulurum sana.
2851,tmm daha önce de uyumlu çift gördük ama kaþý gözü çenesi burnu boyu tipi bile bu kadar yakýþan bir çift görmedik
2852,"""""Sizin uygarlýðýnýzla bizimki arasýndaki büyük farklardan biri: Siz her ne alanda olursa olsun yükselmek için çabalayan insan"
2853,Lan Kayseri ne mal takýmsýn
2854,"1914te ingilizlere sipariþ verilen  ve hiç gelmeyen 2 savaþ gemisi için ödenen 5.000.000u talep etmeyeceksiniz."""
2855,Bu kadýn o yorumcularýn arasýnda belkide ilk elenen kiþi ama onlardan daha tecrübeli ve objektif yorum yapýyor.
2856,Twitlerimi ben yazýyorum ama sýkýþýp kývýrmak zorunda kalýrsam eðer;
2857,Evet gardaþ haklýsýn
2858,Ankara Onkoloji Hastanesinde (Demetevler) yatmakta olan 30 yaþýndaki hasta için B-(negatif) acil kan ihtiyacý vardýr. 
2859,"Ýki yüzün var, bir tane beynin yok gerizekalý"
2860,Bunu getirelim
2861,Avukatlara polis ablukasý ve müdahale devam ediyor. Savunmanýn onurlu direniþçilerine revâ  görülen hukuksuzluk
2862,anlýk rizeliler
2863,Kimse dusmicek galiba amk muhtesem bi ligimiz var ne dusucek takimlar belli ne cikicaklar.
2864,Sirf gozume battgi icin atiyorum
2865,"Bir tepe, ardýnda deniz. "
2866,"Rüzgar vuruyor yüzüne, hafif."
2867,"Arkanda yeþil, önünde mavi."
2868,Kalbin geçiriyor dümene bedende.
2869,Bunu hakketiðin gibi daha iyisini de hakediyorsun Mono!!
2870,Ayrýntýyý görmeyen var mý?!
2871,"Tebriz, Kapalý Çarþý, Kebir Saber Çaycý'nýn dükkaný"
2872,Üst komþum sen tam bir erkek orospususun
2873,"Allah'ým, çocuklara kýyanlarý affetme."
2874,þimdi bu kiþi psikopat orasý doðru ama bence bu sadece bir am krizi deðil kullanýlmýþ.
2875,Ülkemiz Yeni Cumhurbaþkanlýðý Sisteminde 2. yýlýný tamamladý.
2876,dilenciyim miranýn saçlarýný yeni sezonda kaldýrýn
2877,Melek Ýpekin ekmeðini yiyen suyunu içen;
2878,Twitter'da bulunmanýn amacý ne?? bilmelisin ki aðzýndan çýkan herþey yazýlmakta hatýrlatayým
2879,Dað Keçilerine Dokunma
2880,Yemin etmiþler sanki güzel ve bu topraklara ait ne varsa yoketmeye
2881,Beþiktaþ:2 Kasýmpaþa:2
2882,seni seviyoruz çok seviyoruz 
2883,Karým Matrix seviyorsa 7 kere nikah kýyarým.
2884,5'i gördü!
2885,Ah Beþiktaþ ah..
2886,Uzun zamandýr beklediðin baget çanta çekiliþi geldi.
2887,Datça Belediyesi olarak bugünden itibaren hiç bir gösteri ve etkinliðimizde havai fiþek kullanmayacaðýmýzý kamuoyuna saygýyla duyururuz
2888,Süper gol
2889,Hocam arþivde bir video daha buldum. Tanýdýk geldi mi
2890,70.000 olmamýz için 290 kiþi lazým.
2891,Bu adam çok güldürüyo beni ya haydi beni everiyoz
2892,"Sensiz yüzüm gülmüyor, býrak be güzelim yüreðim yanýyor."
2893,iyi ki mutuallarimin hepsini seviyom da engellemeye kiyamiorum
2894,Atýyorlar zaten
2895,bir ay doðar ilk akþamdan 
2896,Türkiye'nin Gündemi
2897,"Kýrklarelide, 2019 yýlýndan beri zaten sokak canlýlarýna zarar vermemek için havai fiþek kullanmayacaðýmýzý açýklamýþ"
2898,Pompeo duyurdu! ABD'den Çin'e Sincan yaptýrýmý... 
2899,Bizim yazlýk niye ilkokulda benden -büyük olasýlýkla- hoþlanan çocuklarýn yazlýðý ile ayný sitede çocuðun yüzüne bakamýyorum
2900,twitter fenomeni olduktan sonra otomatik hayat koçu mu olunuyo ben anlamýyorum herkes onu yapýn bunu yapýn diyo
2901,Gözyaþým pýt
2902,Çekiliþi yaptýk arkadaþlar. Kazanan arkadaþlar dm den papara no býraksýnlar lütfen
2903,Komik bir medyalarý var.. Keþke hep Trabzon la yarýþsak
2904,merhaba arkadaþým
2905,Cem Beleviden sevgilisine sette ilk gün çiçeði
2906,Mehmet hocamin dedigi sakatliklar yavas yavas ortaya cikiyor. Bugunde gokhan ve burak sakatlandi.
2907,Gizem Karaca: Sosyali býrak uçakta mesafe yok!
2908,Burakýn ikiz Bebekleri
2909,"Bir ay önce bugün, kadersel bað. Gitmez olaydým, görmez olaydým"
2910,Gergerlioðlu'nun Þenyaþar ailesi ile adliyeden yapmak istediði canlý yayýna izin verilmedi
2911,Tam da senin anlattýðýn gibi yap rahatlayadýklarý için intihar ediyorlar
2912,Elife bak her parkurda avantajlý sen iken hic sesin cýkmýyordu hepiniz hazýmsýzsýnýz
2913,Ýþ cinayetleri raporu: 6 ayda yaklaþýk bin iþçi hayatýný kaybetti
2914,Fotoðraf çekmek için poz werme prowalarý yapan nice manken uydurmasý köylü kýzý tanýdým ben.
2915,"""Diyarbakýr'da kahvehaneye ateþ açýldý: Bir çocuk öldü, 3 yaralý"
2916,seni bekliyorum 
2917,Prof. Dr. Berk Üstündað: Bilgisayara göre olan zor ile insana göre olan zor arasýnda da farklýlýklar vardýr
2918,Ortaçaðda iki farklý halk okyanusu aþmýþ 
2919,Amerika yerlileri ve Polinezyalýlarýn 13. yüzyýlda Pasifik Okyanusu aþtý
2920,"Gözden uzak olanýn gönülde yarattýðý sýkýntýlarla uðraþýyorum, halledicem."
2921,bu bir planlý tweettir
2922,Çaykur Rizespor Teknik Direktörü Ünal Karaman: Çok özel bir üç puan oldu.
2923,Karýmý önce yalayacak sonrada en az 4 posta atacak kiþi varsa beðenerek takip etsin. Ýlgili kiþilere dm açýyoruz.
2924,Adanadaki termik santrale itiraz: 2 bin erken ölüme neden olacak
2925,Sakarya'nýn Taþkýsýðý köyünde havai fiþek fabrikasýnýn malzemelerini taþýyan kamyonda meydana gelen patlama sonucu þehit
2926,Fransa'da ölenlerin sayýsý 29 bin 979'a yükseldi
2927,ya sadece avucunu öpüyo ya avucunu 
2928,Namazda saða sola bakmaktan sakýn.
2929,Cevabýný veremedin mi? Ne kadar eksik hissettin
2930,Kötü biri deðilim ama bazýlarýna karþý iyi olmak hiç içimden gelmiyor.
2931,Bu Koita neden çýktý þimdi?
2932,Açýk ve net söylüyorum
2933,DSÖnün Acil Durum Ofisini Ýlk Türkiyede açmasý hayra alamet deðil.
2934,ALLAHIM SABIR VER
2935,Umut varken gitti bý malý aldý oyuna aq
2936,Niþanlýsý Nursedayý Götü Kanayana Kadar Sikiyor
2937,YANLIZ yaþýyorum
